observation,tempC_7to8,tempC_1to2,tempC_6to7,humidity_7to8,humidity_1to2,humidity_6to7,windspeedKmph_7to8,windspeedKmph_1to2,windspeedKmph_6to7,pressureMB_7to8,pressureMB_1to2,pressureMB_6to7,precipMM_7to8,precipMM_1to2,precipMM_6to7,weatherDesc_7to8,weatherDesc_1to2,weatherDesc_6to7
2018-05-01,30,37,30,43,19,38,16,25,19,1009,1007,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-02,31,37,30,42,22,38,15,22,21,1009,1006,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-03,31,37,30,34,17,34,12,20,17,1009,1007,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-04,31,37,30,30,19,44,9,21,17,1009,1007,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-05,31,37,31,36,23,40,9,20,18,1010,1007,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-06,33,38,31,25,23,39,10,22,20,1010,1007,1008,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-07,30,37,31,39,16,29,16,21,15,1010,1007,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-08,30,37,31,36,14,27,17,23,12,1010,1007,1006,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-09,32,39,33,31,13,24,12,14,18,1010,1006,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-10,35,40,33,19,15,32,5,9,19,1010,1007,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-11,31,38,32,41,21,38,17,16,17,1010,1007,1006,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-12,31,37,32,39,22,34,20,20,15,1010,1007,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-13,30,36,32,42,27,37,12,17,15,1009,1006,1006,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-14,31,37,31,46,21,35,17,23,16,1010,1006,1007,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-15,30,37,31,48,23,39,15,17,18,1009,1006,1006,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-16,32,38,34,35,21,28,15,18,16,1008,1005,1004,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-18,31,38,32,50,22,37,19,24,16,1007,1004,1005,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-19,32,37,31,33,17,37,17,24,19,1007,1004,1005,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-20,32,38,29,32,15,54,15,26,22,1007,1005,1006,0.0,0.0,0.0,Sunny,Sunny,Clear
2018-05-21,31,37,30,35,21,43,16,23,20,1007,1005,1006,0.0,0.0,0.0,Sunny,Sunny,Clear
